index	label	hemisphere
0	Background	NA
1	7Networks_LH_Vis_1	LH
2	7Networks_LH_Vis_2	LH
3	7Networks_LH_Vis_3	LH
4	7Networks_LH_Vis_4	LH
5	7Networks_LH_Vis_5	LH
6	7Networks_LH_Vis_6	LH
7	7Networks_LH_Vis_7	LH
8	7Networks_LH_Vis_8	LH
9	7Networks_LH_Vis_9	LH
10	7Networks_LH_Vis_10	LH
11	7Networks_LH_Vis_11	LH
12	7Networks_LH_Vis_12	LH
13	7Networks_LH_Vis_13	LH
14	7Networks_LH_Vis_14	LH
15	7Networks_LH_Vis_15	LH
16	7Networks_LH_Vis_16	LH
17	7Networks_LH_Vis_17	LH
18	7Networks_LH_Vis_18	LH
19	7Networks_LH_Vis_19	LH
20	7Networks_LH_Vis_20	LH
21	7Networks_LH_Vis_21	LH
22	7Networks_LH_Vis_22	LH
23	7Networks_LH_Vis_23	LH
24	7Networks_LH_Vis_24	LH
25	7Networks_LH_Vis_25	LH
26	7Networks_LH_Vis_26	LH
27	7Networks_LH_Vis_27	LH
28	7Networks_LH_Vis_28	LH
29	7Networks_LH_Vis_29	LH
30	7Networks_LH_Vis_30	LH
31	7Networks_LH_Vis_31	LH
32	7Networks_LH_SomMot_1	LH
33	7Networks_LH_SomMot_2	LH
34	7Networks_LH_SomMot_3	LH
35	7Networks_LH_SomMot_4	LH
36	7Networks_LH_SomMot_5	LH
37	7Networks_LH_SomMot_6	LH
38	7Networks_LH_SomMot_7	LH
39	7Networks_LH_SomMot_8	LH
40	7Networks_LH_SomMot_9	LH
41	7Networks_LH_SomMot_10	LH
42	7Networks_LH_SomMot_11	LH
43	7Networks_LH_SomMot_12	LH
44	7Networks_LH_SomMot_13	LH
45	7Networks_LH_SomMot_14	LH
46	7Networks_LH_SomMot_15	LH
47	7Networks_LH_SomMot_16	LH
48	7Networks_LH_SomMot_17	LH
49	7Networks_LH_SomMot_18	LH
50	7Networks_LH_SomMot_19	LH
51	7Networks_LH_SomMot_20	LH
52	7Networks_LH_SomMot_21	LH
53	7Networks_LH_SomMot_22	LH
54	7Networks_LH_SomMot_23	LH
55	7Networks_LH_SomMot_24	LH
56	7Networks_LH_SomMot_25	LH
57	7Networks_LH_SomMot_26	LH
58	7Networks_LH_SomMot_27	LH
59	7Networks_LH_SomMot_28	LH
60	7Networks_LH_SomMot_29	LH
61	7Networks_LH_SomMot_30	LH
62	7Networks_LH_SomMot_31	LH
63	7Networks_LH_SomMot_32	LH
64	7Networks_LH_SomMot_33	LH
65	7Networks_LH_SomMot_34	LH
66	7Networks_LH_SomMot_35	LH
67	7Networks_LH_SomMot_36	LH
68	7Networks_LH_SomMot_37	LH
69	7Networks_LH_DorsAttn_Post_1	LH
70	7Networks_LH_DorsAttn_Post_2	LH
71	7Networks_LH_DorsAttn_Post_3	LH
72	7Networks_LH_DorsAttn_Post_4	LH
73	7Networks_LH_DorsAttn_Post_5	LH
74	7Networks_LH_DorsAttn_Post_6	LH
75	7Networks_LH_DorsAttn_Post_7	LH
76	7Networks_LH_DorsAttn_Post_8	LH
77	7Networks_LH_DorsAttn_Post_9	LH
78	7Networks_LH_DorsAttn_Post_10	LH
79	7Networks_LH_DorsAttn_Post_11	LH
80	7Networks_LH_DorsAttn_Post_12	LH
81	7Networks_LH_DorsAttn_Post_13	LH
82	7Networks_LH_DorsAttn_Post_14	LH
83	7Networks_LH_DorsAttn_Post_15	LH
84	7Networks_LH_DorsAttn_Post_16	LH
85	7Networks_LH_DorsAttn_Post_17	LH
86	7Networks_LH_DorsAttn_FEF_1	LH
87	7Networks_LH_DorsAttn_FEF_2	LH
88	7Networks_LH_DorsAttn_FEF_3	LH
89	7Networks_LH_DorsAttn_FEF_4	LH
90	7Networks_LH_DorsAttn_PrCv_1	LH
91	7Networks_LH_DorsAttn_PrCv_2	LH
92	7Networks_LH_SalVentAttn_ParOper_1	LH
93	7Networks_LH_SalVentAttn_ParOper_2	LH
94	7Networks_LH_SalVentAttn_ParOper_3	LH
95	7Networks_LH_SalVentAttn_ParOper_4	LH
96	7Networks_LH_SalVentAttn_TempOcc_1	LH
97	7Networks_LH_SalVentAttn_FrOperIns_1	LH
98	7Networks_LH_SalVentAttn_FrOperIns_2	LH
99	7Networks_LH_SalVentAttn_FrOperIns_3	LH
100	7Networks_LH_SalVentAttn_FrOperIns_4	LH
101	7Networks_LH_SalVentAttn_FrOperIns_5	LH
102	7Networks_LH_SalVentAttn_FrOperIns_6	LH
103	7Networks_LH_SalVentAttn_FrOperIns_7	LH
104	7Networks_LH_SalVentAttn_FrOperIns_8	LH
105	7Networks_LH_SalVentAttn_FrOperIns_9	LH
106	7Networks_LH_SalVentAttn_PFCl_1	LH
107	7Networks_LH_SalVentAttn_Med_1	LH
108	7Networks_LH_SalVentAttn_Med_2	LH
109	7Networks_LH_SalVentAttn_Med_3	LH
110	7Networks_LH_SalVentAttn_Med_4	LH
111	7Networks_LH_SalVentAttn_Med_5	LH
112	7Networks_LH_SalVentAttn_Med_6	LH
113	7Networks_LH_SalVentAttn_Med_7	LH
114	7Networks_LH_Limbic_OFC_1	LH
115	7Networks_LH_Limbic_OFC_2	LH
116	7Networks_LH_Limbic_OFC_3	LH
117	7Networks_LH_Limbic_OFC_4	LH
118	7Networks_LH_Limbic_OFC_5	LH
119	7Networks_LH_Limbic_TempPole_1	LH
120	7Networks_LH_Limbic_TempPole_2	LH
121	7Networks_LH_Limbic_TempPole_3	LH
122	7Networks_LH_Limbic_TempPole_4	LH
123	7Networks_LH_Limbic_TempPole_5	LH
124	7Networks_LH_Limbic_TempPole_6	LH
125	7Networks_LH_Limbic_TempPole_7	LH
126	7Networks_LH_Limbic_TempPole_8	LH
127	7Networks_LH_Cont_Par_1	LH
128	7Networks_LH_Cont_Par_2	LH
129	7Networks_LH_Cont_Par_3	LH
130	7Networks_LH_Cont_Par_4	LH
131	7Networks_LH_Cont_Par_5	LH
132	7Networks_LH_Cont_Par_6	LH
133	7Networks_LH_Cont_Temp_1	LH
134	7Networks_LH_Cont_OFC_1	LH
135	7Networks_LH_Cont_PFCl_1	LH
136	7Networks_LH_Cont_PFCl_2	LH
137	7Networks_LH_Cont_PFCl_3	LH
138	7Networks_LH_Cont_PFCl_4	LH
139	7Networks_LH_Cont_PFCl_5	LH
140	7Networks_LH_Cont_PFCl_6	LH
141	7Networks_LH_Cont_PFCl_7	LH
142	7Networks_LH_Cont_PFCl_8	LH
143	7Networks_LH_Cont_PFCv_1	LH
144	7Networks_LH_Cont_pCun_1	LH
145	7Networks_LH_Cont_pCun_2	LH
146	7Networks_LH_Cont_Cing_1	LH
147	7Networks_LH_Cont_Cing_2	LH
148	7Networks_LH_Cont_PFCmp_1	LH
149	7Networks_LH_Default_Temp_1	LH
150	7Networks_LH_Default_Temp_2	LH
151	7Networks_LH_Default_Temp_3	LH
152	7Networks_LH_Default_Temp_4	LH
153	7Networks_LH_Default_Temp_5	LH
154	7Networks_LH_Default_Temp_6	LH
155	7Networks_LH_Default_Temp_7	LH
156	7Networks_LH_Default_Temp_8	LH
157	7Networks_LH_Default_Temp_9	LH
158	7Networks_LH_Default_Temp_10	LH
159	7Networks_LH_Default_Par_1	LH
160	7Networks_LH_Default_Par_2	LH
161	7Networks_LH_Default_Par_3	LH
162	7Networks_LH_Default_Par_4	LH
163	7Networks_LH_Default_Par_5	LH
164	7Networks_LH_Default_Par_6	LH
165	7Networks_LH_Default_Par_7	LH
166	7Networks_LH_Default_PFC_1	LH
167	7Networks_LH_Default_PFC_2	LH
168	7Networks_LH_Default_PFC_3	LH
169	7Networks_LH_Default_PFC_4	LH
170	7Networks_LH_Default_PFC_5	LH
171	7Networks_LH_Default_PFC_6	LH
172	7Networks_LH_Default_PFC_7	LH
173	7Networks_LH_Default_PFC_8	LH
174	7Networks_LH_Default_PFC_9	LH
175	7Networks_LH_Default_PFC_10	LH
176	7Networks_LH_Default_PFC_11	LH
177	7Networks_LH_Default_PFC_12	LH
178	7Networks_LH_Default_PFC_13	LH
179	7Networks_LH_Default_PFC_14	LH
180	7Networks_LH_Default_PFC_15	LH
181	7Networks_LH_Default_PFC_16	LH
182	7Networks_LH_Default_PFC_17	LH
183	7Networks_LH_Default_PFC_18	LH
184	7Networks_LH_Default_PFC_19	LH
185	7Networks_LH_Default_PFC_20	LH
186	7Networks_LH_Default_PFC_21	LH
187	7Networks_LH_Default_PFC_22	LH
188	7Networks_LH_Default_PFC_23	LH
189	7Networks_LH_Default_PFC_24	LH
190	7Networks_LH_Default_pCunPCC_1	LH
191	7Networks_LH_Default_pCunPCC_2	LH
192	7Networks_LH_Default_pCunPCC_3	LH
193	7Networks_LH_Default_pCunPCC_4	LH
194	7Networks_LH_Default_pCunPCC_5	LH
195	7Networks_LH_Default_pCunPCC_6	LH
196	7Networks_LH_Default_pCunPCC_7	LH
197	7Networks_LH_Default_pCunPCC_8	LH
198	7Networks_LH_Default_pCunPCC_9	LH
199	7Networks_LH_Default_pCunPCC_10	LH
200	7Networks_LH_Default_pCunPCC_11	LH
201	7Networks_RH_Vis_1	RH
202	7Networks_RH_Vis_2	RH
203	7Networks_RH_Vis_3	RH
204	7Networks_RH_Vis_4	RH
205	7Networks_RH_Vis_5	RH
206	7Networks_RH_Vis_6	RH
207	7Networks_RH_Vis_7	RH
208	7Networks_RH_Vis_8	RH
209	7Networks_RH_Vis_9	RH
210	7Networks_RH_Vis_10	RH
211	7Networks_RH_Vis_11	RH
212	7Networks_RH_Vis_12	RH
213	7Networks_RH_Vis_13	RH
214	7Networks_RH_Vis_14	RH
215	7Networks_RH_Vis_15	RH
216	7Networks_RH_Vis_16	RH
217	7Networks_RH_Vis_17	RH
218	7Networks_RH_Vis_18	RH
219	7Networks_RH_Vis_19	RH
220	7Networks_RH_Vis_20	RH
221	7Networks_RH_Vis_21	RH
222	7Networks_RH_Vis_22	RH
223	7Networks_RH_Vis_23	RH
224	7Networks_RH_Vis_24	RH
225	7Networks_RH_Vis_25	RH
226	7Networks_RH_Vis_26	RH
227	7Networks_RH_Vis_27	RH
228	7Networks_RH_Vis_28	RH
229	7Networks_RH_Vis_29	RH
230	7Networks_RH_Vis_30	RH
231	7Networks_RH_SomMot_1	RH
232	7Networks_RH_SomMot_2	RH
233	7Networks_RH_SomMot_3	RH
234	7Networks_RH_SomMot_4	RH
235	7Networks_RH_SomMot_5	RH
236	7Networks_RH_SomMot_6	RH
237	7Networks_RH_SomMot_7	RH
238	7Networks_RH_SomMot_8	RH
239	7Networks_RH_SomMot_9	RH
240	7Networks_RH_SomMot_10	RH
241	7Networks_RH_SomMot_11	RH
242	7Networks_RH_SomMot_12	RH
243	7Networks_RH_SomMot_13	RH
244	7Networks_RH_SomMot_14	RH
245	7Networks_RH_SomMot_15	RH
246	7Networks_RH_SomMot_16	RH
247	7Networks_RH_SomMot_17	RH
248	7Networks_RH_SomMot_18	RH
249	7Networks_RH_SomMot_19	RH
250	7Networks_RH_SomMot_20	RH
251	7Networks_RH_SomMot_21	RH
252	7Networks_RH_SomMot_22	RH
253	7Networks_RH_SomMot_23	RH
254	7Networks_RH_SomMot_24	RH
255	7Networks_RH_SomMot_25	RH
256	7Networks_RH_SomMot_26	RH
257	7Networks_RH_SomMot_27	RH
258	7Networks_RH_SomMot_28	RH
259	7Networks_RH_SomMot_29	RH
260	7Networks_RH_SomMot_30	RH
261	7Networks_RH_SomMot_31	RH
262	7Networks_RH_SomMot_32	RH
263	7Networks_RH_SomMot_33	RH
264	7Networks_RH_SomMot_34	RH
265	7Networks_RH_SomMot_35	RH
266	7Networks_RH_SomMot_36	RH
267	7Networks_RH_SomMot_37	RH
268	7Networks_RH_SomMot_38	RH
269	7Networks_RH_SomMot_39	RH
270	7Networks_RH_SomMot_40	RH
271	7Networks_RH_DorsAttn_Post_1	RH
272	7Networks_RH_DorsAttn_Post_2	RH
273	7Networks_RH_DorsAttn_Post_3	RH
274	7Networks_RH_DorsAttn_Post_4	RH
275	7Networks_RH_DorsAttn_Post_5	RH
276	7Networks_RH_DorsAttn_Post_6	RH
277	7Networks_RH_DorsAttn_Post_7	RH
278	7Networks_RH_DorsAttn_Post_8	RH
279	7Networks_RH_DorsAttn_Post_9	RH
280	7Networks_RH_DorsAttn_Post_10	RH
281	7Networks_RH_DorsAttn_Post_11	RH
282	7Networks_RH_DorsAttn_Post_12	RH
283	7Networks_RH_DorsAttn_Post_13	RH
284	7Networks_RH_DorsAttn_Post_14	RH
285	7Networks_RH_DorsAttn_Post_15	RH
286	7Networks_RH_DorsAttn_Post_16	RH
287	7Networks_RH_DorsAttn_Post_17	RH
288	7Networks_RH_DorsAttn_Post_18	RH
289	7Networks_RH_DorsAttn_Post_19	RH
290	7Networks_RH_DorsAttn_FEF_1	RH
291	7Networks_RH_DorsAttn_FEF_2	RH
292	7Networks_RH_DorsAttn_FEF_3	RH
293	7Networks_RH_DorsAttn_PrCv_1	RH
