Index	Label	Hemisphere
0	Background	NA
1	7Networks_LH_Vis_1	LH
2	7Networks_LH_Vis_2	LH
3	7Networks_LH_Vis_3	LH
4	7Networks_LH_Vis_4	LH
5	7Networks_LH_Vis_5	LH
6	7Networks_LH_Vis_6	LH
7	7Networks_LH_Vis_7	LH
8	7Networks_LH_Vis_8	LH
9	7Networks_LH_Vis_9	LH
10	7Networks_LH_Vis_10	LH
11	7Networks_LH_Vis_11	LH
12	7Networks_LH_Vis_12	LH
13	7Networks_LH_Vis_13	LH
14	7Networks_LH_Vis_14	LH
15	7Networks_LH_Vis_15	LH
16	7Networks_LH_Vis_16	LH
17	7Networks_LH_Vis_17	LH
18	7Networks_LH_Vis_18	LH
19	7Networks_LH_Vis_19	LH
20	7Networks_LH_Vis_20	LH
21	7Networks_LH_Vis_21	LH
22	7Networks_LH_Vis_22	LH
23	7Networks_LH_Vis_23	LH
24	7Networks_LH_Vis_24	LH
25	7Networks_LH_Vis_25	LH
26	7Networks_LH_Vis_26	LH
27	7Networks_LH_Vis_27	LH
28	7Networks_LH_Vis_28	LH
29	7Networks_LH_Vis_29	LH
30	7Networks_LH_Vis_30	LH
31	7Networks_LH_Vis_31	LH
32	7Networks_LH_Vis_32	LH
33	7Networks_LH_Vis_33	LH
34	7Networks_LH_Vis_34	LH
35	7Networks_LH_Vis_35	LH
36	7Networks_LH_Vis_36	LH
37	7Networks_LH_Vis_37	LH
38	7Networks_LH_Vis_38	LH
39	7Networks_LH_Vis_39	LH
40	7Networks_LH_Vis_40	LH
41	7Networks_LH_Vis_41	LH
42	7Networks_LH_Vis_42	LH
43	7Networks_LH_Vis_43	LH
44	7Networks_LH_Vis_44	LH
45	7Networks_LH_Vis_45	LH
46	7Networks_LH_Vis_46	LH
47	7Networks_LH_Vis_47	LH
48	7Networks_LH_Vis_48	LH
49	7Networks_LH_Vis_49	LH
50	7Networks_LH_Vis_50	LH
51	7Networks_LH_Vis_51	LH
52	7Networks_LH_Vis_52	LH
53	7Networks_LH_Vis_53	LH
54	7Networks_LH_Vis_54	LH
55	7Networks_LH_Vis_55	LH
56	7Networks_LH_Vis_56	LH
57	7Networks_LH_Vis_57	LH
58	7Networks_LH_Vis_58	LH
59	7Networks_LH_Vis_59	LH
60	7Networks_LH_Vis_60	LH
61	7Networks_LH_Vis_61	LH
62	7Networks_LH_Vis_62	LH
63	7Networks_LH_Vis_63	LH
64	7Networks_LH_Vis_64	LH
65	7Networks_LH_Vis_65	LH
66	7Networks_LH_Vis_66	LH
67	7Networks_LH_Vis_67	LH
68	7Networks_LH_SomMot_1	LH
69	7Networks_LH_SomMot_2	LH
70	7Networks_LH_SomMot_3	LH
71	7Networks_LH_SomMot_4	LH
72	7Networks_LH_SomMot_5	LH
73	7Networks_LH_SomMot_6	LH
74	7Networks_LH_SomMot_7	LH
75	7Networks_LH_SomMot_8	LH
76	7Networks_LH_SomMot_9	LH
77	7Networks_LH_SomMot_10	LH
78	7Networks_LH_SomMot_11	LH
79	7Networks_LH_SomMot_12	LH
80	7Networks_LH_SomMot_13	LH
81	7Networks_LH_SomMot_14	LH
82	7Networks_LH_SomMot_15	LH
83	7Networks_LH_SomMot_16	LH
84	7Networks_LH_SomMot_17	LH
85	7Networks_LH_SomMot_18	LH
86	7Networks_LH_SomMot_19	LH
87	7Networks_LH_SomMot_20	LH
88	7Networks_LH_SomMot_21	LH
89	7Networks_LH_SomMot_22	LH
90	7Networks_LH_SomMot_23	LH
91	7Networks_LH_SomMot_24	LH
92	7Networks_LH_SomMot_25	LH
93	7Networks_LH_SomMot_26	LH
94	7Networks_LH_SomMot_27	LH
95	7Networks_LH_SomMot_28	LH
96	7Networks_LH_SomMot_29	LH
97	7Networks_LH_SomMot_30	LH
98	7Networks_LH_SomMot_31	LH
99	7Networks_LH_SomMot_32	LH
100	7Networks_LH_SomMot_33	LH
101	7Networks_LH_SomMot_34	LH
102	7Networks_LH_SomMot_35	LH
103	7Networks_LH_SomMot_36	LH
104	7Networks_LH_SomMot_37	LH
105	7Networks_LH_SomMot_38	LH
106	7Networks_LH_SomMot_39	LH
107	7Networks_LH_SomMot_40	LH
108	7Networks_LH_SomMot_41	LH
109	7Networks_LH_SomMot_42	LH
110	7Networks_LH_SomMot_43	LH
111	7Networks_LH_SomMot_44	LH
112	7Networks_LH_SomMot_45	LH
113	7Networks_LH_SomMot_46	LH
114	7Networks_LH_SomMot_47	LH
115	7Networks_LH_SomMot_48	LH
116	7Networks_LH_SomMot_49	LH
117	7Networks_LH_SomMot_50	LH
118	7Networks_LH_SomMot_51	LH
119	7Networks_LH_SomMot_52	LH
120	7Networks_LH_SomMot_53	LH
121	7Networks_LH_SomMot_54	LH
122	7Networks_LH_SomMot_55	LH
123	7Networks_LH_SomMot_56	LH
124	7Networks_LH_SomMot_57	LH
125	7Networks_LH_SomMot_58	LH
126	7Networks_LH_SomMot_59	LH
127	7Networks_LH_SomMot_60	LH
128	7Networks_LH_SomMot_61	LH
129	7Networks_LH_SomMot_62	LH
130	7Networks_LH_SomMot_63	LH
131	7Networks_LH_SomMot_64	LH
132	7Networks_LH_SomMot_65	LH
133	7Networks_LH_SomMot_66	LH
134	7Networks_LH_SomMot_67	LH
135	7Networks_LH_SomMot_68	LH
136	7Networks_LH_SomMot_69	LH
137	7Networks_LH_SomMot_70	LH
138	7Networks_LH_SomMot_71	LH
139	7Networks_LH_SomMot_72	LH
140	7Networks_LH_SomMot_73	LH
141	7Networks_LH_SomMot_74	LH
142	7Networks_LH_SomMot_75	LH
143	7Networks_LH_DorsAttn_Post_1	LH
144	7Networks_LH_DorsAttn_Post_2	LH
145	7Networks_LH_DorsAttn_Post_3	LH
146	7Networks_LH_DorsAttn_Post_4	LH
147	7Networks_LH_DorsAttn_Post_5	LH
148	7Networks_LH_DorsAttn_Post_6	LH
149	7Networks_LH_DorsAttn_Post_7	LH
150	7Networks_LH_DorsAttn_Post_8	LH
151	7Networks_LH_DorsAttn_Post_9	LH
152	7Networks_LH_DorsAttn_Post_10	LH
153	7Networks_LH_DorsAttn_Post_11	LH
154	7Networks_LH_DorsAttn_Post_12	LH
155	7Networks_LH_DorsAttn_Post_13	LH
156	7Networks_LH_DorsAttn_Post_14	LH
157	7Networks_LH_DorsAttn_Post_15	LH
158	7Networks_LH_DorsAttn_Post_16	LH
159	7Networks_LH_DorsAttn_Post_17	LH
160	7Networks_LH_DorsAttn_Post_18	LH
161	7Networks_LH_DorsAttn_Post_19	LH
162	7Networks_LH_DorsAttn_Post_20	LH
163	7Networks_LH_DorsAttn_Post_21	LH
164	7Networks_LH_DorsAttn_Post_22	LH
165	7Networks_LH_DorsAttn_Post_23	LH
166	7Networks_LH_DorsAttn_Post_24	LH
167	7Networks_LH_DorsAttn_Post_25	LH
168	7Networks_LH_DorsAttn_Post_26	LH
169	7Networks_LH_DorsAttn_Post_27	LH
170	7Networks_LH_DorsAttn_Post_28	LH
171	7Networks_LH_DorsAttn_Post_29	LH
172	7Networks_LH_DorsAttn_Post_30	LH
173	7Networks_LH_DorsAttn_Post_31	LH
174	7Networks_LH_DorsAttn_Post_32	LH
175	7Networks_LH_DorsAttn_Post_33	LH
176	7Networks_LH_DorsAttn_Post_34	LH
177	7Networks_LH_DorsAttn_Post_35	LH
178	7Networks_LH_DorsAttn_Post_36	LH
179	7Networks_LH_DorsAttn_Post_37	LH
180	7Networks_LH_DorsAttn_Post_38	LH
181	7Networks_LH_DorsAttn_FEF_1	LH
182	7Networks_LH_DorsAttn_FEF_2	LH
183	7Networks_LH_DorsAttn_FEF_3	LH
184	7Networks_LH_DorsAttn_FEF_4	LH
185	7Networks_LH_DorsAttn_FEF_5	LH
186	7Networks_LH_DorsAttn_FEF_6	LH
187	7Networks_LH_DorsAttn_FEF_7	LH
188	7Networks_LH_DorsAttn_PrCv_1	LH
189	7Networks_LH_DorsAttn_PrCv_2	LH
190	7Networks_LH_SalVentAttn_ParOper_1	LH
191	7Networks_LH_SalVentAttn_ParOper_2	LH
192	7Networks_LH_SalVentAttn_ParOper_3	LH
193	7Networks_LH_SalVentAttn_ParOper_4	LH
194	7Networks_LH_SalVentAttn_ParOper_5	LH
195	7Networks_LH_SalVentAttn_ParOper_6	LH
196	7Networks_LH_SalVentAttn_ParOper_7	LH
197	7Networks_LH_SalVentAttn_ParOper_8	LH
198	7Networks_LH_SalVentAttn_TempOcc_1	LH
199	7Networks_LH_SalVentAttn_FrOperIns_1	LH
200	7Networks_LH_SalVentAttn_FrOperIns_2	LH
201	7Networks_LH_SalVentAttn_FrOperIns_3	LH
202	7Networks_LH_SalVentAttn_FrOperIns_4	LH
203	7Networks_LH_SalVentAttn_FrOperIns_5	LH
204	7Networks_LH_SalVentAttn_FrOperIns_6	LH
205	7Networks_LH_SalVentAttn_FrOperIns_7	LH
206	7Networks_LH_SalVentAttn_FrOperIns_8	LH
207	7Networks_LH_SalVentAttn_FrOperIns_9	LH
208	7Networks_LH_SalVentAttn_FrOperIns_10	LH
209	7Networks_LH_SalVentAttn_FrOperIns_11	LH
210	7Networks_LH_SalVentAttn_FrOperIns_12	LH
211	7Networks_LH_SalVentAttn_PFCl_1	LH
212	7Networks_LH_SalVentAttn_PFCl_2	LH
213	7Networks_LH_SalVentAttn_Med_1	LH
214	7Networks_LH_SalVentAttn_Med_2	LH
215	7Networks_LH_SalVentAttn_Med_3	LH
216	7Networks_LH_SalVentAttn_Med_4	LH
217	7Networks_LH_SalVentAttn_Med_5	LH
218	7Networks_LH_SalVentAttn_Med_6	LH
219	7Networks_LH_SalVentAttn_Med_7	LH
220	7Networks_LH_SalVentAttn_Med_8	LH
221	7Networks_LH_SalVentAttn_Med_9	LH
222	7Networks_LH_SalVentAttn_Med_10	LH
223	7Networks_LH_SalVentAttn_Med_11	LH
224	7Networks_LH_SalVentAttn_Med_12	LH
225	7Networks_LH_SalVentAttn_Med_13	LH
226	7Networks_LH_SalVentAttn_Med_14	LH
227	7Networks_LH_SalVentAttn_Med_15	LH
228	7Networks_LH_SalVentAttn_Med_16	LH
229	7Networks_LH_SalVentAttn_Med_17	LH
230	7Networks_LH_Limbic_OFC_1	LH
231	7Networks_LH_Limbic_OFC_2	LH
232	7Networks_LH_Limbic_OFC_3	LH
233	7Networks_LH_Limbic_OFC_4	LH
234	7Networks_LH_Limbic_OFC_5	LH
235	7Networks_LH_Limbic_OFC_6	LH
236	7Networks_LH_Limbic_OFC_7	LH
237	7Networks_LH_Limbic_OFC_8	LH
238	7Networks_LH_Limbic_OFC_9	LH
239	7Networks_LH_Limbic_OFC_10	LH
240	7Networks_LH_Limbic_OFC_11	LH
241	7Networks_LH_Limbic_OFC_12	LH
242	7Networks_LH_Limbic_TempPole_1	LH
243	7Networks_LH_Limbic_TempPole_2	LH
244	7Networks_LH_Limbic_TempPole_3	LH
245	7Networks_LH_Limbic_TempPole_4	LH
246	7Networks_LH_Limbic_TempPole_5	LH
247	7Networks_LH_Limbic_TempPole_6	LH
248	7Networks_LH_Limbic_TempPole_7	LH
249	7Networks_LH_Limbic_TempPole_8	LH
250	7Networks_LH_Limbic_TempPole_9	LH
251	7Networks_LH_Limbic_TempPole_10	LH
252	7Networks_LH_Limbic_TempPole_11	LH
253	7Networks_LH_Limbic_TempPole_12	LH
254	7Networks_LH_Limbic_TempPole_13	LH
255	7Networks_LH_Limbic_TempPole_14	LH
256	7Networks_LH_Limbic_TempPole_15	LH
257	7Networks_LH_Limbic_TempPole_16	LH
258	7Networks_LH_Limbic_TempPole_17	LH
259	7Networks_LH_Cont_Par_1	LH
260	7Networks_LH_Cont_Par_2	LH
261	7Networks_LH_Cont_Par_3	LH
262	7Networks_LH_Cont_Par_4	LH
263	7Networks_LH_Cont_Par_5	LH
264	7Networks_LH_Cont_Par_6	LH
265	7Networks_LH_Cont_Par_7	LH
266	7Networks_LH_Cont_Par_8	LH
267	7Networks_LH_Cont_Par_9	LH
268	7Networks_LH_Cont_Par_10	LH
269	7Networks_LH_Cont_Par_11	LH
270	7Networks_LH_Cont_Par_12	LH
271	7Networks_LH_Cont_Temp_1	LH
272	7Networks_LH_Cont_Temp_2	LH
273	7Networks_LH_Cont_Temp_3	LH
274	7Networks_LH_Cont_PFCd_1	LH
275	7Networks_LH_Cont_PFCd_2	LH
276	7Networks_LH_Cont_PFCl_1	LH
277	7Networks_LH_Cont_PFCl_2	LH
278	7Networks_LH_Cont_PFCl_3	LH
279	7Networks_LH_Cont_PFCl_4	LH
280	7Networks_LH_Cont_PFCl_5	LH
281	7Networks_LH_Cont_PFCl_6	LH
282	7Networks_LH_Cont_PFCl_7	LH
283	7Networks_LH_Cont_PFCl_8	LH
284	7Networks_LH_Cont_PFCl_9	LH
285	7Networks_LH_Cont_PFCl_10	LH
286	7Networks_LH_Cont_PFCl_11	LH
287	7Networks_LH_Cont_PFCl_12	LH
288	7Networks_LH_Cont_PFCl_13	LH
