Index  Label  Hemisphere
0  Background  bilateral
1  Frontal Pole  bilateral
2  Insular Cortex  bilateral
3  Superior Frontal Gyrus  bilateral
4  Middle Frontal Gyrus  bilateral
5  Inferior Frontal Gyrus pars triangularis  bilateral
6  Inferior Frontal Gyrus pars opercularis  bilateral
7  Precentral Gyrus  bilateral
8  Temporal Pole  bilateral
9  Superior Temporal Gyrus anterior division  bilateral
10  Superior Temporal Gyrus posterior division  bilateral
11  Middle Temporal Gyrus anterior division  bilateral
12  Middle Temporal Gyrus posterior division  bilateral
13  Middle Temporal Gyrus temporooccipital part  bilateral
14  Inferior Temporal Gyrus anterior division  bilateral
15  Inferior Temporal Gyrus posterior division  bilateral
16  Inferior Temporal Gyrus temporooccipital part  bilateral
17  Postcentral Gyrus  bilateral
18  Superior Parietal Lobule  bilateral
19  Supramarginal Gyrus anterior division  bilateral
20  Supramarginal Gyrus posterior division  bilateral
21  Angular Gyrus  bilateral
22  Lateral Occipital Cortex superior division  bilateral
23  Lateral Occipital Cortex inferior division  bilateral
24  Intracalcarine Cortex  bilateral
25  Frontal Medial Cortex  bilateral
26  Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)  bilateral
27  Subcallosal Cortex  bilateral
28  Paracingulate Gyrus  bilateral
29  Cingulate Gyrus anterior division  bilateral
30  Cingulate Gyrus posterior division  bilateral
31  Precuneous Cortex  bilateral
32  Cuneal Cortex  bilateral
33  Frontal Orbital Cortex  bilateral
34  Parahippocampal Gyrus anterior division  bilateral
35  Parahippocampal Gyrus posterior division  bilateral
36  Lingual Gyrus  bilateral
37  Temporal Fusiform Cortex anterior division  bilateral
38  Temporal Fusiform Cortex posterior division  bilateral
39  Temporal Occipital Fusiform Cortex  bilateral
40  Occipital Fusiform Gyrus  bilateral
41  Frontal Operculum Cortex  bilateral
42  Central Opercular Cortex  bilateral
43  Parietal Operculum Cortex  bilateral
44  Planum Polare  bilateral
45  Heschl's Gyrus (includes H1 and H2)  bilateral
46  Planum Temporale  bilateral
47  Supracalcarine Cortex  bilateral
48  Occipital Pole  bilateral
