Index	Label	Hemisphere
0	Background	NA
1	17Networks_LH_VisCent_ExStr_1	LH
2	17Networks_LH_VisCent_ExStr_2	LH
3	17Networks_LH_VisCent_ExStr_3	LH
4	17Networks_LH_VisCent_ExStr_4	LH
5	17Networks_LH_VisCent_ExStr_5	LH
6	17Networks_LH_VisCent_ExStr_6	LH
7	17Networks_LH_VisCent_Striate_1	LH
8	17Networks_LH_VisCent_ExStr_7	LH
9	17Networks_LH_VisCent_ExStr_8	LH
10	17Networks_LH_VisCent_ExStr_9	LH
11	17Networks_LH_VisCent_ExStr_10	LH
12	17Networks_LH_VisCent_ExStr_11	LH
13	17Networks_LH_VisPeri_ExStrInf_1	LH
14	17Networks_LH_VisPeri_ExStrInf_2	LH
15	17Networks_LH_VisPeri_ExStrInf_3	LH
16	17Networks_LH_VisPeri_ExStrInf_4	LH
17	17Networks_LH_VisPeri_ExStrInf_5	LH
18	17Networks_LH_VisPeri_StriCal_1	LH
19	17Networks_LH_VisPeri_StriCal_2	LH
20	17Networks_LH_VisPeri_ExStrSup_1	LH
21	17Networks_LH_VisPeri_ExStrSup_2	LH
22	17Networks_LH_VisPeri_ExStrSup_3	LH
23	17Networks_LH_VisPeri_ExStrSup_4	LH
24	17Networks_LH_VisPeri_ExStrSup_5	LH
25	17Networks_LH_SomMotA_1	LH
26	17Networks_LH_SomMotA_2	LH
27	17Networks_LH_SomMotA_3	LH
28	17Networks_LH_SomMotA_4	LH
29	17Networks_LH_SomMotA_5	LH
30	17Networks_LH_SomMotA_6	LH
31	17Networks_LH_SomMotA_7	LH
32	17Networks_LH_SomMotA_8	LH
33	17Networks_LH_SomMotA_9	LH
34	17Networks_LH_SomMotA_10	LH
35	17Networks_LH_SomMotA_11	LH
36	17Networks_LH_SomMotA_12	LH
37	17Networks_LH_SomMotA_13	LH
38	17Networks_LH_SomMotA_14	LH
39	17Networks_LH_SomMotA_15	LH
40	17Networks_LH_SomMotA_16	LH
41	17Networks_LH_SomMotA_17	LH
42	17Networks_LH_SomMotA_18	LH
43	17Networks_LH_SomMotA_19	LH
44	17Networks_LH_SomMotB_Aud_1	LH
45	17Networks_LH_SomMotB_Aud_2	LH
46	17Networks_LH_SomMotB_Ins_1	LH
47	17Networks_LH_SomMotB_S2_1	LH
48	17Networks_LH_SomMotB_S2_2	LH
49	17Networks_LH_SomMotB_Aud_3	LH
50	17Networks_LH_SomMotB_Aud_4	LH
51	17Networks_LH_SomMotB_S2_3	LH
52	17Networks_LH_SomMotB_S2_4	LH
53	17Networks_LH_SomMotB_S2_5	LH
54	17Networks_LH_SomMotB_S2_6	LH
55	17Networks_LH_SomMotB_Cent_1	LH
56	17Networks_LH_SomMotB_Cent_2	LH
57	17Networks_LH_SomMotB_Cent_3	LH
58	17Networks_LH_SomMotB_Cent_4	LH
59	17Networks_LH_SomMotB_Cent_5	LH
60	17Networks_LH_DorsAttnA_TempOcc_1	LH
61	17Networks_LH_DorsAttnA_TempOcc_2	LH
62	17Networks_LH_DorsAttnA_TempOcc_3	LH
63	17Networks_LH_DorsAttnA_TempOcc_4	LH
64	17Networks_LH_DorsAttnA_ParOcc_1	LH
65	17Networks_LH_DorsAttnA_ParOcc_2	LH
66	17Networks_LH_DorsAttnA_SPL_1	LH
67	17Networks_LH_DorsAttnA_SPL_2	LH
68	17Networks_LH_DorsAttnA_SPL_3	LH
69	17Networks_LH_DorsAttnA_SPL_4	LH
70	17Networks_LH_DorsAttnA_SPL_5	LH
71	17Networks_LH_DorsAttnA_SPL_6	LH
72	17Networks_LH_DorsAttnA_SPL_7	LH
73	17Networks_LH_DorsAttnB_PostC_1	LH
74	17Networks_LH_DorsAttnB_PostC_2	LH
75	17Networks_LH_DorsAttnB_PostC_3	LH
76	17Networks_LH_DorsAttnB_PostC_4	LH
77	17Networks_LH_DorsAttnB_PostC_5	LH
78	17Networks_LH_DorsAttnB_PostC_6	LH
79	17Networks_LH_DorsAttnB_PostC_7	LH
80	17Networks_LH_DorsAttnB_PostC_8	LH
81	17Networks_LH_DorsAttnB_PostC_9	LH
82	17Networks_LH_DorsAttnB_FEF_1	LH
83	17Networks_LH_DorsAttnB_FEF_2	LH
84	17Networks_LH_DorsAttnB_FEF_3	LH
85	17Networks_LH_DorsAttnB_PrCv_1	LH
86	17Networks_LH_SalVentAttnA_ParOper_1	LH
87	17Networks_LH_SalVentAttnA_ParOper_2	LH
88	17Networks_LH_SalVentAttnA_ParOper_3	LH
89	17Networks_LH_SalVentAttnA_Ins_1	LH
90	17Networks_LH_SalVentAttnA_Ins_2	LH
91	17Networks_LH_SalVentAttnA_Ins_3	LH
92	17Networks_LH_SalVentAttnA_Ins_4	LH
93	17Networks_LH_SalVentAttnA_FrOper_1	LH
94	17Networks_LH_SalVentAttnA_FrOper_2	LH
95	17Networks_LH_SalVentAttnA_ParMed_1	LH
96	17Networks_LH_SalVentAttnA_ParMed_2	LH
97	17Networks_LH_SalVentAttnA_ParMed_3	LH
98	17Networks_LH_SalVentAttnA_FrMed_1	LH
99	17Networks_LH_SalVentAttnA_FrMed_2	LH
100	17Networks_LH_SalVentAttnA_FrMed_3	LH
