index  label  hemisphere
2001  Precentral_L  left
2002  Precentral_R  right
2101  Frontal_Sup_L  left
2102  Frontal_Sup_R  right
2111  Frontal_Sup_Orb_L  left
2112  Frontal_Sup_Orb_R  right
2201  Frontal_Mid_L  left
2202  Frontal_Mid_R  right
2211  Frontal_Mid_Orb_L  left
2212  Frontal_Mid_Orb_R  right
2301  Frontal_Inf_Oper_L  left
2302  Frontal_Inf_Oper_R  right
2311  Frontal_Inf_Tri_L  left
2312  Frontal_Inf_Tri_R  right
2321  Frontal_Inf_Orb_L  left
2322  Frontal_Inf_Orb_R  right
2331  Rolandic_Oper_L  left
2332  Rolandic_Oper_R  right
2401  Supp_Motor_Area_L  left
2402  Supp_Motor_Area_R  right
2501  Olfactory_L  left
2502  Olfactory_R  right
2601  Frontal_Sup_Medial_L  left
2602  Frontal_Sup_Medial_R  right
2611  Frontal_Med_Orb_L  left
2612  Frontal_Med_Orb_R  right
2701  Rectus_L  left
2702  Rectus_R  right
3001  Insula_L  left
3002  Insula_R  right
4001  Cingulum_Ant_L  left
4002  Cingulum_Ant_R  right
4011  Cingulum_Mid_L  left
4012  Cingulum_Mid_R  right
4021  Cingulum_Post_L  left
4022  Cingulum_Post_R  right
4101  Hippocampus_L  left
4102  Hippocampus_R  right
4111  ParaHippocampal_L  left
4112  ParaHippocampal_R  right
4201  Amygdala_L  left
4202  Amygdala_R  right
5001  Calcarine_L  left
5002  Calcarine_R  right
5011  Cuneus_L  left
5012  Cuneus_R  right
5021  Lingual_L  left
5022  Lingual_R  right
5101  Occipital_Sup_L  left
5102  Occipital_Sup_R  right
5201  Occipital_Mid_L  left
5202  Occipital_Mid_R  right
5301  Occipital_Inf_L  left
5302  Occipital_Inf_R  right
5401  Fusiform_L  left
5402  Fusiform_R  right
6001  Postcentral_L  left
6002  Postcentral_R  right
6101  Parietal_Sup_L  left
6102  Parietal_Sup_R  right
6201  Parietal_Inf_L  left
6202  Parietal_Inf_R  right
6211  SupraMarginal_L  left
6212  SupraMarginal_R  right
6221  Angular_L  left
6222  Angular_R  right
6301  Precuneus_L  left
6302  Precuneus_R  right
6401  Paracentral_Lobule_L  left
6402  Paracentral_Lobule_R  left
7001  Caudate_L  left
7002  Caudate_R  right
7011  Putamen_L  left
7012  Putamen_R  right
7021  Pallidum_L  left
7022  Pallidum_R  right
7101  Thalamus_L  left
7102  Thalamus_R  right
8101  Heschl_L  left
8102  Heschl_R  right
8111  Temporal_Sup_L  left
8112  Temporal_Sup_R  right
8121  Temporal_Pole_Sup_L  left
8122  Temporal_Pole_Sup_R  right
8201  Temporal_Mid_L  left
8202  Temporal_Mid_R  right
8211  Temporal_Pole_Mid_L  left
8212  Temporal_Pole_Mid_R  right
8301  Temporal_Inf_L  left
8302  Temporal_Inf_R  right
9001  Cerebelum_Crus1_L  left
9002  Cerebelum_Crus1_R  right
9011  Cerebelum_Crus2_L  left
9012  Cerebelum_Crus2_R  right
9021  Cerebelum_3_L  left
9022  Cerebelum_3_R  right
9031  Cerebelum_4_5_L  left
9032  Cerebelum_4_5_R  right
9041  Cerebelum_6_L  left
9042  Cerebelum_6_R  right
9051  Cerebelum_7b_L  left
9052  Cerebelum_7b_R  right
9061  Cerebelum_8_L  left
9062  Cerebelum_8_R  right
9071  Cerebelum_9_L  left
9072  Cerebelum_9_R  right
9081  Cerebelum_10_L  left
9082  Cerebelum_10_R  right
9100  Vermis_1_2  NA
9110  Vermis_3  NA
9120  Vermis_4_5  NA
9130  Vermis_6  NA
9140  Vermis_7  NA
9150  Vermis_8  NA
9160  Vermis_9  NA
9170  Vermis_10  NA
